"日期","销量（升）","石化站价格","竞争站价格","价差"
2023-10-17,657.11,"8.33",7.19,1.14
2023-10-18,770.23,"8.33",7.19,1.14
2023-10-19,755.43,"8.33",7.19,1.14
2023-10-20,988.63,"8.33",7.19,1.14
2023-10-21,778.34,"8.33",7.19,1.14
2023-10-22,934.17,"8.33",7.19,1.14
2023-10-23,837.75,"8.33",7.19,1.14
2023-10-24,969.20,"8.33",7.19,1.14
2023-10-25,853.13,"8.27",7.19,1.08
2023-10-26,856.14,"8.27",7.19,1.08
2023-10-27,1003.10,"8.27",7.19,1.08
2023-10-28,766.12,"8.27",7.19,1.08
2023-10-29,592.77,"8.27",7.19,1.08
2023-10-30,1041.33,"8.27",7.19,1.08
2023-10-31,983.70,"8.27",7.19,1.08
2023-11-01,814.80,"8.27",7.19,1.08
2023-11-02,710.02,"8.27",7.19,1.08
2023-11-03,949.88,"8.27",7.19,1.08
2023-11-04,1055.15,"8.27",7.19,1.08
2023-11-05,690.09,"8.27",7.19,1.08
2023-11-06,1309.22,"8.27",7.19,1.08
2023-11-07,833.55,"8.27",7.19,1.08
2023-11-08,1051.70,"8.16",7.19,0.97
2023-11-09,766.67,"8.16",7.19,0.97
2023-11-10,993.51,"8.16",7.19,0.97
2023-11-11,792.01,"8.16",7.19,0.97
2023-11-12,834.62,"8.16",7.19,0.97
2023-11-13,974.68,"8.16",7.19,0.97
2023-11-14,757.42,"8.16",7.19,0.97
2023-11-15,703.97,"8.16",7.19,0.97
2023-11-16,1026.40,"8.16",7.19,0.97
2023-11-17,1314.32,"8.16",7.19,0.97
2023-11-18,809.47,"8.16",7.19,0.97
2023-11-19,650.42,"8.16",7.19,0.97
2023-11-20,980.64,"8.16",7.19,0.97
2023-11-21,494.30,"8.16",7.19,0.97
2023-11-22,1067.21,"7.89",7.19,0.70
2023-11-23,1119.45,"7.89",7.19,0.70
2023-11-24,1025.79,"7.89",7.19,0.70
2023-11-25,661.33,"7.89",7.19,0.70
2023-11-26,889.68,"7.89",7.19,0.70
2023-11-27,731.67,"7.89",7.19,0.70
2023-11-28,1081.09,"7.89",7.19,0.70
2023-11-29,960.13,"7.89",7.19,0.70
2023-11-30,813.40,"7.89",7.19,0.70
2023-12-01,1127.17,"7.89",7.19,0.70
2023-12-02,814.73,"7.89",7.19,0.70
2023-12-03,1228.61,"7.89",7.19,0.70
2023-12-04,1002.10,"7.89",7.19,0.70
2023-12-05,795.31,"7.89",7.19,0.70
2023-12-06,1124.25,"7.85",7.19,0.66
2023-12-07,1103.46,"7.85",7.19,0.66
2023-12-08,1370.52,"7.85",7.19,0.66
2023-12-09,891.61,"7.85",7.19,0.66
2023-12-10,839.76,"7.85",7.19,0.66
2023-12-11,1087.60,"7.85",7.19,0.66
2023-12-12,741.59,"7.85",7.19,0.66
2023-12-13,1275.85,"7.85",7.19,0.66
2023-12-14,1055.62,"7.85",7.19,0.66
2023-12-15,1141.59,"7.85",7.19,0.66
2023-12-16,878.70,"7.85",7.19,0.66
2023-12-17,855.68,"7.85",7.19,0.66
2023-12-18,1384.65,"7.85",7.19,0.66
2023-12-19,830.28,"7.85",7.19,0.66
2023-12-20,1920.76,"7.51",7.19,0.32
2023-12-21,1210.41,"7.51",7.19,0.32
2023-12-22,1089.38,"7.51",7.19,0.32
2023-12-23,812.16,"7.51",7.19,0.32
2023-12-24,775.07,"7.51",7.19,0.32
2023-12-25,1149.25,"7.51",7.19,0.32
2023-12-26,1083.54,"7.51",7.19,0.32
2023-12-27,1292.21,"7.51",7.19,0.32
2023-12-28,810.50,"7.51",7.19,0.32
2023-12-29,1095.00,"7.51",7.19,0.32
2023-12-30,934.52,"7.51",7.19,0.32
2023-12-31,946.13,"7.51",7.19,0.32
